2026-05-06 15:21:04.927 | INFO | core | [PRICE] Запущен цикл минутных снапшотов.
2026-05-06 15:22:01.653 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:42:41.070 | INFO | core | [PRICE] Запущен цикл минутных снапшотов.
2026-05-06 17:43:01.054 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:44:01.202 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:45:01.443 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:47:01.788 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:48:02.162 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:50:02.000 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:52:02.359 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:54:02.207 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:56:01.332 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 17:58:01.159 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 18:00:01.576 | DEBUG | core | [PRICE] Обновлен минутный Snapshot для 529 пар.
2026-05-06 18:01:18.641 | INFO | core | [PRICE] Запущен цикл минутных снапшотов.
