2026-05-06 15:14:26.273 | INFO | lever | 🔄 Загрузка спецификаций Phemex...
2026-05-06 17:36:17.278 | INFO | lever | 🔄 Загрузка спецификаций Phemex...
2026-05-06 17:36:17.582 | INFO | lever | 🚀 Найдено 519 символов. Цель: 10x (Cross)
2026-05-06 17:36:17.582 | INFO | lever | 📡 Получение текущих настроек аккаунта...
2026-05-06 17:36:19.756 | INFO | lever | ℹ️ Текущий режим аккаунта: Hedged
2026-05-06 17:36:20.195 | DEBUG | lever | [BTCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:20.935 | DEBUG | lever | [ETHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:21.655 | DEBUG | lever | [XRPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:22.368 | DEBUG | lever | [ADAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:23.163 | DEBUG | lever | [SOLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:23.883 | DEBUG | lever | [UNIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:24.607 | DEBUG | lever | [DOTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:25.430 | DEBUG | lever | [LINKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:26.181 | DEBUG | lever | [ATOMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:26.894 | DEBUG | lever | [LTCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:27.597 | DEBUG | lever | [DOGEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:28.305 | DEBUG | lever | [TWTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:29.015 | DEBUG | lever | [BNBUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:29.735 | DEBUG | lever | [MANAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:30.447 | DEBUG | lever | [APEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:31.195 | DEBUG | lever | [LUNCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:31.915 | DEBUG | lever | [FLOWUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:32.622 | DEBUG | lever | [NEOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:33.321 | DEBUG | lever | [ACHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:34.013 | DEBUG | lever | [BANDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:34.759 | DEBUG | lever | [VETUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:35.489 | DEBUG | lever | [API3USDT] Setup OK: 10x (Cross)
2026-05-06 17:36:36.203 | DEBUG | lever | [SUSHIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:36.901 | DEBUG | lever | [ENJUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:37.606 | DEBUG | lever | [XTZUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:38.321 | DEBUG | lever | [CHZUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:39.020 | DEBUG | lever | [JASMYUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:39.732 | DEBUG | lever | [THETAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:40.430 | DEBUG | lever | [TRXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:41.180 | DEBUG | lever | [RUNEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:41.885 | DEBUG | lever | [AXSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:42.582 | DEBUG | lever | [ETCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:43.306 | DEBUG | lever | [RSRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:44.002 | DEBUG | lever | [FILUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:44.701 | DEBUG | lever | [AVAXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:45.396 | DEBUG | lever | [GMTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:46.091 | DEBUG | lever | [ZRXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:46.790 | DEBUG | lever | [MTLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:47.498 | DEBUG | lever | [LUNA2USDT] Setup OK: 10x (Cross)
2026-05-06 17:36:48.236 | DEBUG | lever | [CRVUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:49.269 | DEBUG | lever | [APTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:50.151 | DEBUG | lever | [MASKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:50.846 | DEBUG | lever | [CELOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:51.581 | DEBUG | lever | [ZECUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:52.286 | DEBUG | lever | [EGLDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:53.000 | DEBUG | lever | [MAGICUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:53.718 | DEBUG | lever | [GALAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:54.448 | DEBUG | lever | [ALICEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:54.956 | DEBUG | lever | [U1000SHIBUSDT] Skip: Symbol not found or not supported
2026-05-06 17:36:55.657 | DEBUG | lever | [STORJUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:56.356 | DEBUG | lever | [GRTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:57.243 | DEBUG | lever | [ARUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:58.023 | DEBUG | lever | [IMXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:58.938 | DEBUG | lever | [QTUMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:36:59.648 | DEBUG | lever | [OGNUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:00.382 | DEBUG | lever | [QNTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:01.081 | DEBUG | lever | [RVNUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:01.813 | DEBUG | lever | [LDOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:02.521 | DEBUG | lever | [ZILUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:03.218 | DEBUG | lever | [ALGOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:03.963 | DEBUG | lever | [GMXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:04.668 | DEBUG | lever | [C98USDT] Setup OK: 10x (Cross)
2026-05-06 17:37:05.415 | DEBUG | lever | [CHRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:06.158 | DEBUG | lever | [BCHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:06.883 | DEBUG | lever | [KAVAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:07.767 | DEBUG | lever | [FLUXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:08.716 | DEBUG | lever | [SNXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:09.417 | DEBUG | lever | [BATUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:10.162 | DEBUG | lever | [NEARUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:10.904 | DEBUG | lever | [YFIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:11.794 | DEBUG | lever | [ROSEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:12.528 | DEBUG | lever | [ENSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:13.238 | DEBUG | lever | [SANDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:13.935 | DEBUG | lever | [PAXGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:14.644 | DEBUG | lever | [XLMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:15.369 | DEBUG | lever | [SKLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:16.077 | DEBUG | lever | [DYDXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:16.784 | DEBUG | lever | [INJUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:17.498 | DEBUG | lever | [ARPAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:18.230 | DEBUG | lever | [AAVEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:19.172 | DEBUG | lever | [AGLDUSDT] Setup OK: 10x (Cross)
2026-05-06 17:37:19.941 | DEBUG | lever | [DASHUSDT] Setup OK: 10x (Cross)
