2026-04-27 16:29:53 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:53 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:53 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:54 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:54 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:54 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:54 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:55 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:55 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:55 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:55 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:56 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:56 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:56 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:56 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:57 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:57 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:57 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:57 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:58 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:58 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:58 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:58 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:59 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:59 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:59 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:29:59 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:00 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:00 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:00 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:00 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:01 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:01 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:01 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:01 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:02 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:02 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:02 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:02 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:03 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:03 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:03 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:03 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:04 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:04 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:04 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:04 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
2026-04-27 16:30:05 | WARNING | signal | [SKIP] [ETHUSDT] Отказ: Монета находится в BlackList.
